SCHCD,TotalStudents,Total_boys,Percntage_girls,Total_Pass,Result_Percentage,Tot_Teachers,Hyg_infra,Urban,North,South,East,West ,Central
9360102803,230,150,0.347826087,112,0.486956522,5,0.166666667,0,0,1,0,0,0
9360102901,112,48,0.571428571,39,0.348214286,2,0.105263158,0,0,1,0,0,0
9360102902,75,43,0.426666667,33,0.44,8,0.086956522,0,0,1,0,0,0
9360103001,196,82,0.581632653,207,1.056122449,11,0.047619048,0,0,1,0,0,0
9360103002,126,71,0.436507937,74,0.587301587,2,0.047619048,0,0,1,0,0,0
9360103003,32,12,0.625,13,0.40625,2,0.047619048,0,0,1,0,0,0
9360103004,80,38,0.525,25,0.3125,4,0.047619048,0,0,1,0,0,0
9360103005,67,39,0.417910448,21,0.313432836,5,0.1,0,0,1,0,0,0
9360103006,34,20,0.411764706,0,0,5,0.117647059,0,0,1,0,0,0
9360103101,153,76,0.503267974,20,0.130718954,2,0.142857143,0,0,1,0,0,0
9360103102,108,59,0.453703704,52,0.481481481,6,0,0,0,1,0,0,0
9360103103,46,29,0.369565217,9,0.195652174,7,0.095238095,0,0,1,0,0,0
9360103104,130,58,0.553846154,0,0,4,0.1,0,0,1,0,0,0
9360103105,62,25,0.596774194,18,0.290322581,3,0.1,0,0,1,0,0,0
9360103201,61,32,0.475409836,34,0.557377049,2,0.16,0,0,1,0,0,0
9360103301,65,46,0.292307692,28,0.430769231,2,0.172413793,0,0,1,0,0,0
9360103302,25,14,0.44,12,0.48,2,0.095238095,0,0,1,0,0,0
9360103303,68,27,0.602941176,27,0.397058824,9,0,0,0,1,0,0,0
9360103401,85,39,0.541176471,17,0.2,8,0.1,0,0,1,0,0,0
9360103402,41,21,0.487804878,17,0.414634146,3,0.125,0,0,1,0,0,0
9360103501,96,44,0.541666667,28,0.291666667,3,0,0,0,1,0,0,0
9360103502,105,40,0.619047619,45,0.428571429,6,0.111111111,0,0,1,0,0,0
9360103503,48,17,0.645833333,24,0.5,3,0.269230769,0,0,1,0,0,0
9360103505,53,29,0.452830189,22,0.41509434,6,0.047619048,0,0,1,0,0,0
9360103506,38,21,0.447368421,4,0.105263158,5,0.047619048,0,0,1,0,0,0
9360103601,64,38,0.40625,12,0.1875,3,0.111111111,0,0,1,0,0,0
9360103701,80,35,0.5625,14,0.175,4,0.111111111,0,0,1,0,0,0
9360103702,67,31,0.537313433,25,0.373134328,4,0.090909091,0,0,1,0,0,0
9360103703,48,23,0.520833333,17,0.354166667,3,0.111111111,0,0,1,0,0,0
9360103705,74,37,0.5,53,0.716216216,3,0.176470588,0,0,1,0,0,0
9360103511,291,167,0.426116838,128,0.439862543,4,0.1,0,0,1,0,0,0
9360103536,962,590,0.386694387,0,0,10,0.1,0,0,1,0,0,0
9360103562,674,456,0.323442136,233,0.345697329,4,0.125,1,0,1,0,0,0
9670100401,9,5,0.444444444,0,0,6,0.148148148,0,0,0,1,0,0
9670101301,60,31,0.483333333,24,0.4,10,0.222222222,0,0,0,1,0,0
9670101501,179,104,0.418994413,78,0.43575419,10,0.181818182,0,0,0,1,0,0
9670101901,34,21,0.382352941,0,0,7,0.230769231,0,0,0,1,0,0
9670102403,377,204,0.458885942,0,0,9,0.136363636,0,0,0,1,0,0
9670103601,52,30,0.423076923,20,0.384615385,8,0.173913043,0,0,0,1,0,0
9670104002,126,70,0.444444444,0,0,7,0.1,0,0,0,1,0,0
9670107207,279,135,0.516129032,63,0.225806452,13,0.236842105,0,0,0,1,0,0
9670107401,581,311,0.464716007,93,0.160068847,8,0.166666667,0,0,0,1,0,0
9670108703,170,74,0.564705882,69,0.405882353,11,0.08,0,0,0,1,0,0
9670200807,87,42,0.517241379,28,0.32183908,6,0.255319149,0,0,0,1,0,0
9670201403,91,52,0.428571429,16,0.175824176,11,0.083333333,0,0,0,1,0,0
9670203601,272,138,0.492647059,61,0.224264706,9,0.083333333,0,0,0,1,0,0
9670205201,110,67,0.390909091,19,0.172727273,8,0.133333333,0,0,0,1,0,0
9670207101,117,71,0.393162393,44,0.376068376,9,0.176470588,0,0,0,1,0,0
9670208201,112,60,0.464285714,21,0.1875,6,0.083333333,0,0,0,1,0,0
9670208204,355,177,0.501408451,120,0.338028169,5,0.083333333,0,0,0,1,0,0
9670209401,46,21,0.543478261,0,0,5,0.066666667,0,0,0,1,0,0
9670209801,111,52,0.531531532,63,0.567567568,2,0.117647059,0,0,0,1,0,0
9670302101,100,55,0.45,21,0.21,9,0.148148148,0,0,0,1,0,0
9670304801,26,12,0.538461538,17,0.653846154,3,0.16,0,0,0,1,0,0
9670304902,733,0,1,100,0.136425648,8,0.285714286,0,0,0,1,0,0
9670305501,153,92,0.39869281,31,0.202614379,9,0.2,0,0,0,1,0,0
9670305502,92,46,0.5,20,0.217391304,5,0.085106383,0,0,0,1,0,0
9670305701,212,95,0.551886792,48,0.226415094,8,0.173913043,0,0,0,1,0,0
9670310002,98,53,0.459183673,54,0.551020408,6,0.181818182,0,0,0,1,0,0
9670312702,81,33,0.592592593,20,0.24691358,4,0.222222222,0,0,0,1,0,0
9670404601,178,92,0.483146067,352,1.97752809,4,0.16,0,0,0,1,0,0
9670406601,182,84,0.538461538,116,0.637362637,13,0.114285714,0,0,0,1,0,0
9670406802,54,25,0.537037037,0,0,8,0.181818182,0,0,0,1,0,0
9670406805,584,285,0.511986301,201,0.344178082,13,0.307692308,0,0,0,1,0,0
9670409601,94,57,0.393617021,59,0.627659574,10,0.148148148,0,0,0,1,0,0
9670500901,159,87,0.452830189,44,0.27672956,7,0.142857143,0,0,0,1,0,0
9670502502,191,73,0.617801047,43,0.22513089,7,0.166666667,0,0,0,1,0,0
9670503304,2884,2004,0.305131761,599,0.207697642,10,0.105263158,0,0,0,1,0,0
9670505301,114,59,0.48245614,28,0.245614035,8,0.125,0,0,0,1,0,0
9670505303,109,55,0.495412844,55,0.504587156,6,0.095238095,0,0,0,1,0,0
9670505501,78,36,0.538461538,7,0.08974359,12,0.095238095,0,0,0,1,0,0
9670507302,104,51,0.509615385,36,0.346153846,6,0.166666667,0,0,0,1,0,0
9670507602,111,45,0.594594595,37,0.333333333,3,0.076923077,0,0,0,1,0,0
9670509804,131,66,0.496183206,21,0.160305344,7,0.263157895,0,0,0,1,0,0
9670510001,266,146,0.45112782,99,0.372180451,10,0.206896552,0,0,0,1,0,0
9670511106,128,55,0.5703125,25,0.1953125,13,0.142857143,0,0,0,1,0,0
9670601601,102,48,0.529411765,256,2.509803922,11,0.233333333,0,0,0,1,0,0
9670603002,116,59,0.49137931,67,0.577586207,13,0.137931034,0,0,0,1,0,0
9670607301,30,17,0.433333333,2,0.066666667,4,0.166666667,0,0,0,1,0,0
9670608403,213,207,0.028169014,0,0,8,0.210526316,0,0,0,1,0,0
9670608901,367,70,0.809264305,82,0.223433243,2,0.181818182,0,0,0,1,0,0
9670609702,255,144,0.435294118,52,0.203921569,6,0.130434783,0,0,0,1,0,0
9670609801,180,119,0.338888889,692,3.844444444,8,0.148148148,0,0,0,1,0,0
9670617701,460,255,0.445652174,206,0.447826087,3,0.16,0,0,0,1,0,0
9670700302,197,106,0.461928934,60,0.304568528,13,0.129032258,0,0,0,1,0,0
9670701601,267,149,0.441947566,105,0.393258427,8,0.214285714,0,0,0,1,0,0
9670702001,39,18,0.538461538,26,0.666666667,8,0.181818182,0,0,0,1,0,0
9670702104,42,27,0.357142857,0,0,8,0.2,0,0,0,1,0,0
9670704401,128,72,0.4375,9,0.0703125,6,0.095238095,0,0,0,1,0,0
9670705601,254,130,0.488188976,65,0.255905512,12,0.1875,0,0,0,1,0,0
9670706103,76,39,0.486842105,0,0,6,0.166666667,0,0,0,1,0,0
9670707001,111,70,0.369369369,63,0.567567568,7,0.214285714,0,0,0,1,0,0
9670718701,75,18,0.76,80,1.066666667,7,0.2,0,0,0,1,0,0
9670801601,172,87,0.494186047,43,0.25,9,0.172413793,0,0,0,1,0,0
9670802201,1217,629,0.4831553,115,0.094494659,7,0.166666667,0,0,0,1,0,0
9670802601,117,51,0.564102564,43,0.367521368,13,0.171428571,0,0,0,1,0,0
9670803101,91,47,0.483516484,24,0.263736264,7,0.214285714,0,0,0,1,0,0
9670804702,663,359,0.45852187,342,0.515837104,9,0.095238095,0,0,0,1,0,0
